"Year","State","Emissions","Primary.x","Elec.x","Use.x","Primary.y","Elec.y","Use.y"
1994,"Sachsen-Anhalt",9.5,"0.1","0.1","155.9","0.1","0.1","155.9"
1994,"Schleswig-Holstein",9,"0.7",".","187.4","0.7",".","187.4"
1994,"Thüringen",5.5,"0.9","2.6","87.6","0.9","2.6","87.6"
1995,"Baden-Württemberg",7.5,"2","7.8","151.1","2","7.8","151.1"
1995,"Bayern",7.3,"5.5","18.7","163.4","5.5","18.7","163.4"
1995,"Berlin",6.9,"0.5",".","97.7","0.5",".","97.7"
1995,"Brandenburg",19.9,"1.5",".","221.9","1.5",".","221.9"
1995,"Bremen",19.3,"1.9","1.7","240.4","1.9","1.7","240.4"
1995,"Hamburg",7.5,"1",".","146.9","1",".","146.9"
1995,"Hessen",7.7,"1",".","164.9","1",".","164.9"
1995,"Mecklenburg-Vorpommern",5.6,"1.5","1.5","89.2","1.5","1.5","89.2"
1995,"Nordrhein-Westfalen",16.9,"0.5","0.8","229.3","0.5","0.8","229.3"
1995,"Rheinland-Pfalz",7.9,"0.9","3.6","165.6","0.9","3.6","165.6"
1995,"Saarland",21.3,"1","0","255.6","1","0","255.6"
1995,"Sachsen",13.4,"0.3","0.9","142","0.3","0.9","142"
1995,"Sachsen-Anhalt",9.2,"0.1","0.2","159","0.1","0.2","159"
1995,"Schleswig-Holstein",8.4,"0.9",".","218.9","0.9",".","218.9"
1995,"Thüringen",5.3,"1.1","2.8","90","1.1","2.8","90"
1996,"Baden-Württemberg",7.9,"1.9","6.6","156.8","1.9","6.6","156.8"
1996,"Bayern",7.5,"5.2","17","168.2","5.2","17","168.2"
1996,"Berlin",7,"0.5",".","100.4","0.5",".","100.4"
1996,"Brandenburg",19.7,"0.5",".","227","0.5",".","227"
1996,"Bremen",20.9,"1.6","1.7","253","1.6","1.7","253"
1996,"Hamburg",8.1,"0.9",".","156.3","0.9",".","156.3"
1996,"Hessen",8.2,"0.7",".","174.6","0.7",".","174.6"
1996,"Mecklenburg-Vorpommern",6.4,"1.5","2","98.9","1.5","2","98.9"
1996,"Niedersachsen",10,"0.4",".","196","0.4",".","196"
1996,"Rheinland-Pfalz",7.9,"1.1","2.8","176.8","1.1","2.8","176.8"
1996,"Saarland",22,"0.3","0","256.9","0.3","0","256.9"
1996,"Sachsen",12.3,"0.3","1.1","136.7","0.3","1.1","136.7"
1996,"Sachsen-Anhalt",9.4,"0.2","0.4","160.2","0.2","0.4","160.2"
1996,"Schleswig-Holstein",8.6,"0.9",".","225","0.9",".","225"
1996,"Thüringen",5.5,"1.1","2.2","94.1","1.1","2.2","94.1"
1997,"Baden-Württemberg",7.5,"2.1","7.4","152.1","2.1","7.4","152.1"
1997,"Bayern",7.3,"5.3","16.5","166.6","5.3","16.5","166.6"
1997,"Berlin",6.7,"0.4",".","94.5","0.4",".","94.5"
1997,"Brandenburg",19.7,"0.6",".","224.4","0.6",".","224.4"
1997,"Bremen",20.8,"1.6","1.6","253.1","1.6","1.6","253.1"
1997,"Hamburg",7.8,"1",".","151.7","1",".","151.7"
1997,"Hessen",7.7,"0.8",".","176.4","0.8",".","176.4"
1997,"Mecklenburg-Vorpommern",5.9,"1.4","3.5","92.8","1.4","3.5","92.8"
1997,"Rheinland-Pfalz",7.9,"1.2","3.5","173.9","1.2","3.5","173.9"
1997,"Saarland",20.1,"0.3","0","243.6","0.3","0","243.6"
1997,"Sachsen",11.3,"0.4","1.4","133.3","0.4","1.4","133.3"
1997,"Sachsen-Anhalt",9.3,"0.3","0.7","152","0.3","0.7","152"
1997,"Schleswig-Holstein",8.2,"1.1",".","222.4","1.1",".","222.4"
1997,"Thüringen",5.2,"1.6","2.6","91.5","1.6","2.6","91.5"
1998,"Baden-Württemberg",7.6,"2","6.3","153.8","2","6.3","153.8"
1998,"Bayern",7.5,"5.4","17.3","169.3","5.4","17.3","169.3"
1998,"Berlin",6.6,"0.6",".","93.1","0.6",".","93.1"
1998,"Brandenburg",22.9,"1.2",".","242.2","1.2",".","242.2"
1998,"Bremen",20.5,"1.7","1.8","245.1","1.7","1.8","245.1"
1998,"Hessen",7.7,"0.8",".","178","0.8",".","178"
1998,"Mecklenburg-Vorpommern",5.8,"1.9","5.5","91.1","1.9","5.5","91.1"
1998,"Niedersachsen",10.2,"1.3",".","195","1.3",".","195"
1998,"Rheinland-Pfalz",7.8,"1.6","4.1","164.9","1.6","4.1","164.9"
1998,"Saarland",22.1,"0.7","0","255.8","0.7","0","255.8"
1998,"Sachsen",8.2,"0.6","2.2","121.9","0.6","2.2","121.9"
1998,"Sachsen-Anhalt",9.4,"0.4","1.3","166.4","0.4","1.3","166.4"
1998,"Schleswig-Holstein",8.1,"1.6",".","199.9","1.6",".","199.9"
1998,"Thüringen",5.1,"1.8","3.3","92","1.8","3.3","92"
1999,"Baden-Württemberg",7.3,"2.2","7.2","151.6","2.2","7.2","151.6"
1999,"Bayern",7.3,"5.9","19.2","167.3","5.9","19.2","167.3"
1999,"Berlin",6.8,"0.6",".","98.6","0.6",".","98.6"
1999,"Brandenburg",22.2,"1.6",".","235.4","1.6",".","235.4"
1999,"Bremen",19.1,"1.9","1.9","232.3","1.9","1.9","232.3"
1999,"Hessen",7.2,"0.8",".","170.4","0.8",".","170.4"
1999,"Mecklenburg-Vorpommern",5.9,"2.7","7.9","93.9","2.7","7.9","93.9"
1999,"Rheinland-Pfalz",7.5,"1.6","4","161","1.6","4","161"
1999,"Saarland",21.3,"0.7","0","245.5","0.7","0","245.5"
1999,"Sachsen",7.8,"0.6","2.8","119.5","0.6","2.8","119.5"
1999,"Sachsen-Anhalt",10.1,"0.5","2","165.3","0.5","2","165.3"
1999,"Schleswig-Holstein",7.9,"1.5",".","215.7","1.5",".","215.7"
1999,"Thüringen",5,"2","3.6","92.8","2","3.6","92.8"
2000,"Baden-Württemberg",7.1,"2.8","11.6","148.7","2.8","11.6","148.7"
2000,"Bayern",7.1,"6.4","19.1","167.2","6.4","19.1","167.2"
2000,"Berlin",6.8,"0.7",".","98","0.7",".","98"
2000,"Brandenburg",23.1,"1.8",".","237.6","1.8",".","237.6"
2000,"Bremen",21.1,"1.8","1.9","251.2","1.8","1.9","251.2"
2000,"Hessen",7.3,"2",".","170.4","2",".","170.4"
2000,"Mecklenburg-Vorpommern",5.8,"4.5","12.2","93.7","4.5","12.2","93.7"
2000,"Niedersachsen",9.3,"1.7",".","184.5","1.7",".","184.5"
2000,"Nordrhein-Westfalen",16.3,"0.9","1.1","219.7","0.9","1.1","219.7"
2000,"Rheinland-Pfalz",7.2,"1.9","4.8","160.8","1.9","4.8","160.8"
2000,"Saarland",21.9,"0.8","0","253.5","0.8","0","253.5"
2000,"Sachsen",9.3,"0.6","3","130.2","0.6","3","130.2"
2000,"Sachsen-Anhalt",10,"1.1","4.6","168.2","1.1","4.6","168.2"
2000,"Schleswig-Holstein",7.7,"1.8",".","210.8","1.8",".","210.8"
2000,"Thüringen",4.9,"3.5","7.3","91.8","3.5","7.3","91.8"
2001,"Baden-Württemberg",7.5,"3","8.7","153","3","8.7","153"
2001,"Bayern",7.2,"6.4","18","170.2","6.4","18","170.2"
2001,"Berlin",6.9,"0.6",".","102.7","0.6",".","102.7"
2001,"Brandenburg",23.3,"2.1","6","245.5","2.1","6","245.5"
2001,"Bremen",21.2,"1.9","2.6","252.1","1.9","2.6","252.1"
2001,"Hessen",7.6,"2.3",".","177.8","2.3",".","177.8"
2001,"Mecklenburg-Vorpommern",6.1,"4.6","13.6","97.5","4.6","13.6","97.5"
2001,"Nordrhein-Westfalen",16.6,"1.2","1.9","219.9","1.2","1.9","219.9"
2001,"Rheinland-Pfalz",7.3,"1.9","5.4","164.4","1.9","5.4","164.4"
2001,"Saarland",21.7,"0.9","0","251.1","0.9","0","251.1"
2001,"Sachsen",11,"0.7","3.8","141.4","0.7","3.8","141.4"
2001,"Sachsen-Anhalt",10.3,"1.5","6.4","171.5","1.5","6.4","171.5"
2001,"Schleswig-Holstein",8.1,"1.9",".","216.5","1.9",".","216.5"
2001,"Thüringen",5.1,"3.9","7.9","94.9","3.9","7.9","94.9"
2002,"Baden-Württemberg",7.1,"2.7","8.6","149.4","2.7","8.6","149.4"
2002,"Bayern",6.7,"7.2","20.6","164","7.2","20.6","164"
2002,"Berlin",6.1,"0.7",".","95.1","0.7",".","95.1"
2002,"Brandenburg",23.6,"2.9","9.3","248.7","2.9","9.3","248.7"
2002,"Bremen",21.1,"2","2.2","248.6","2","2.2","248.6"
2002,"Hessen",7.1,"2.4","2.8","170.6","2.4","2.8","170.6"
2002,"Mecklenburg-Vorpommern",6.2,"6.4","20.3","100.1","6.4","20.3","100.1"
2002,"Niedersachsen",9,"2.2",".","182.1","2.2",".","182.1"
2002,"Nordrhein-Westfalen",16.3,"1.2","3.3","228.5","1.2","3.3","228.5"
2002,"Rheinland-Pfalz",6.9,"1.9","5.4","164.7","1.9","5.4","164.7"
2002,"Saarland",21.5,"1","0","254.5","1","0","254.5"
2002,"Sachsen",11.2,"1","5","143.2","1","5","143.2"
2002,"Sachsen-Anhalt",10.7,"2.2","10.2","174.2","2.2","10.2","174.2"
2002,"Schleswig-Holstein",7.6,"2.6","22","194.8","2.6","22","194.8"
2002,"Thüringen",5,"7.1","8.3","100.3","7.1","8.3","100.3"
2003,"Baden-Württemberg",7,"4.4","6.3","153.2","4.4","6.3","153.2"
2003,"Bayern",6.6,"6.9","18.2","161.5","6.9","18.2","161.5"
