"Year","Emissions","State"
"1992","5","Mecklenburg-Vorpommern"
"1991","5.6","Mecklenburg-Vorpommern"
"1990","8","Mecklenburg-Vorpommern"
"1990","10.5","Niedersachsen"
"1991","11.1","Niedersachsen"
"1994","10.2","Niedersachsen"
"1996","10","Niedersachsen"
"1998","10.2","Niedersachsen"
"2000","9.3","Niedersachsen"
"2002","9","Niedersachsen"
"2004","8.7","Niedersachsen"
"2006","8.7","Niedersachsen"
"2008","8.6","Niedersachsen"
"2009","8.2","Niedersachsen"
"2010","8.5","Niedersachsen"
"2011","8.5","Niedersachsen"
"2012","6.3","Rheinland-Pfalz"
"2011","6.3","Rheinland-Pfalz"
"2010","6.7","Rheinland-Pfalz"
"2009","6.4","Rheinland-Pfalz"
"2008","6.7","Rheinland-Pfalz"
"2007","6.2","Rheinland-Pfalz"
"2006","6.5","Rheinland-Pfalz"
"2005","6.4","Rheinland-Pfalz"
"2004","6.4","Rheinland-Pfalz"
"2003","6.5","Rheinland-Pfalz"
"2002","6.9","Rheinland-Pfalz"
"2001","7.3","Rheinland-Pfalz"
"2000","7.2","Rheinland-Pfalz"
"1999","7.5","Rheinland-Pfalz"
"1998","7.8","Rheinland-Pfalz"
"1997","7.9","Rheinland-Pfalz"
"1996","7.9","Rheinland-Pfalz"
"1995","7.9","Rheinland-Pfalz"
"1994","7.7","Rheinland-Pfalz"
"1993","7.7","Rheinland-Pfalz"
"1992","7.5","Rheinland-Pfalz"
"1991","7.8","Rheinland-Pfalz"
"1990","7.3","Rheinland-Pfalz"
"2012","11.7","Sachsen"
"2011","11.2","Sachsen"
"2010","11.4","Sachsen"
"2009","11.1","Sachsen"
"2008","10.9","Sachsen"
"2007","11","Sachsen"
"2006","11.3","Sachsen"
"2005","10.9","Sachsen"
"2004","11.2","Sachsen"
"2003","11.4","Sachsen"
"2002","11.2","Sachsen"
"2001","11","Sachsen"
"2000","9.3","Sachsen"
"1999","7.8","Sachsen"
"1998","8.2","Sachsen"
"1997","11.3","Sachsen"
"1996","12.3","Sachsen"
"1995","13.4","Sachsen"
"1994","13.7","Sachsen"
"1993","14.3","Sachsen"
"1992","13.7","Sachsen"
"1991","16.3","Sachsen"
"1990","19.1","Sachsen"
"2012","6.3","Schleswig-Holstein"
"2011","6.1","Schleswig-Holstein"
"2010","6.7","Schleswig-Holstein"
"2009","6.5","Schleswig-Holstein"
"2008","6.6","Schleswig-Holstein"
"2007","6","Schleswig-Holstein"
"2006","6.8","Schleswig-Holstein"
"2005","6.8","Schleswig-Holstein"
"2004","7.2","Schleswig-Holstein"
"2003","7.6","Schleswig-Holstein"
"2002","7.6","Schleswig-Holstein"
"2001","8.1","Schleswig-Holstein"
"2000","7.7","Schleswig-Holstein"
"1999","7.9","Schleswig-Holstein"
"1998","8.1","Schleswig-Holstein"
"1997","8.2","Schleswig-Holstein"
"1996","8.6","Schleswig-Holstein"
"1995","8.4","Schleswig-Holstein"
"1994","9","Schleswig-Holstein"
"1993","9.2","Schleswig-Holstein"
"1992","9","Schleswig-Holstein"
"1991","9","Schleswig-Holstein"
"1990","9.3","Schleswig-Holstein"
"2012","12.2","Sachsen-Anhalt"
"2011","11.9","Sachsen-Anhalt"
"2010","11.7","Sachsen-Anhalt"
"2009","11.7","Sachsen-Anhalt"
"2008","11.3","Sachsen-Anhalt"
"2007","10.9","Sachsen-Anhalt"
"2006","11.3","Sachsen-Anhalt"
"2005","11.2","Sachsen-Anhalt"
"2004","10.8","Sachsen-Anhalt"
"2003","11.1","Sachsen-Anhalt"
"2002","10.7","Sachsen-Anhalt"
"2001","10.3","Sachsen-Anhalt"
"2000","10","Sachsen-Anhalt"
"1999","10.1","Sachsen-Anhalt"
"1998","9.4","Sachsen-Anhalt"
"1997","9.3","Sachsen-Anhalt"
"1996","9.4","Sachsen-Anhalt"
"1995","9.2","Sachsen-Anhalt"
"1994","9.5","Sachsen-Anhalt"
"1993","10","Sachsen-Anhalt"
"1992","11.4","Sachsen-Anhalt"
"1991","13.4","Sachsen-Anhalt"
"1990","17.6","Sachsen-Anhalt"
"2012","4.8","Thüringen"
"2011","4.6","Thüringen"
"2010","4.8","Thüringen"
"2009","4.7","Thüringen"
"2008","4.8","Thüringen"
"2007","4.5","Thüringen"
"2006","4.8","Thüringen"
"2005","4.9","Thüringen"
"2004","5","Thüringen"
"2003","5","Thüringen"
"2002","5","Thüringen"
"2001","5.1","Thüringen"
"2000","4.9","Thüringen"
"1999","5","Thüringen"
"1998","5.1","Thüringen"
"1997","5.2","Thüringen"
"1996","5.5","Thüringen"
"1995","5.3","Thüringen"
"1994","5.5","Thüringen"
"1993","6.4","Thüringen"
"1992","7.3","Thüringen"
"1991","8.5","Thüringen"
"1990","10.7","Thüringen"
"2012","21.6","Saarland"
"2011","20.7","Saarland"
"2010","18.7","Saarland"
"2009","17.9","Saarland"
"2008","22.2","Saarland"
"2007","24.7","Saarland"
"2006","22.5","Saarland"
"2005","23.5","Saarland"
"2004","22.6","Saarland"
"2003","21.9","Saarland"
"2002","21.5","Saarland"
"2001","21.7","Saarland"
"2000","21.9","Saarland"
"1999","21.3","Saarland"
"1998","22.1","Saarland"
"1997","20.1","Saarland"
"1996","22","Saarland"
"1995","21.3","Saarland"
"1994","22.4","Saarland"
"1993","21.4","Saarland"
"1992","22.6","Saarland"
"1991","24","Saarland"
"1990","22.1","Saarland"
"1990","17.2","Nordrhein-Westfalen"
"1995","16.9","Nordrhein-Westfalen"
"2000","16.3","Nordrhein-Westfalen"
"2001","16.6","Nordrhein-Westfalen"
"2002","16.3","Nordrhein-Westfalen"
"2003","16.4","Nordrhein-Westfalen"
"2004","16.1","Nordrhein-Westfalen"
"2005","15.6","Nordrhein-Westfalen"
"2006","15.9","Nordrhein-Westfalen"
"2007","16.1","Nordrhein-Westfalen"
"2008","16","Nordrhein-Westfalen"
"2009","14.6","Nordrhein-Westfalen"
"2010","15.4","Nordrhein-Westfalen"
"2011","15.3","Nordrhein-Westfalen"
"2012","15.5","Nordrhein-Westfalen"
